Node ID,Degree of intersection,Density of each circle
circle6,0.8178954477517565016012156681,2
circle7,1.263540773083811248237594974,0.8131868131868131868131868132
circle13,1.213493924332537623631294882,0.8
circle2,1.702170562205432410779175598,0.7794117647058823529411764706
circle8,2.082912435485082560321653001,0.6126126126126126126126126126
circle12,2.306921717442238296116912975,0.6098680436029833620195065978
circle0,2.470778849762234002542630409,0.5109546165884194053208137715
circle9,2.488944456320385913393546565,0.4642857142857142857142857143
circle10,1.412837525051344321922232771,0.4129032258064516129032258065
circle1,1.162124699573986936209777557,0.4095238095238095238095238095
circle4,1.961776072237087621930027404,0.3874643874643874643874643875
circle5,1.735673555511249752134027957,0.3132673267326732673267326733
circle11,0.5783071526705097951075820738,0.1025641025641025641025641026
circle3,0.7742955923116659811130911743,0.04444444444444444444444444444
