Node ID,Number of common features with ego nodes,Number of common circles
107,5,3.0
348,9,3.0
607,0,2.0
558,8,2.0
563,7,2.0
567,7,2.0
579,8,2.0
584,4,2.0
590,7,2.0
592,7,2.0
597,5,2.0
601,7,2.0
602,0,2.0
604,8,2.0
611,6,2.0
500,3,2.0
616,4,2.0
631,4,2.0
637,2,2.0
639,5,2.0
641,5,2.0
674,0,2.0
677,6,2.0
678,4,2.0
679,4,2.0
682,5,2.0
684,6,2.0
524,7,2.0
603,8,2.0
436,2,2.0
373,6,2.0
475,8,2.0
483,9,2.0
428,6,2.0
376,8,2.0
391,4,2.0
461,3,2.0
640,4,1.0
650,1,1.0
647,7,1.0
651,2,1.0
653,6,1.0
644,5,1.0
654,7,1.0
643,7,1.0
649,6,1.0
506,4,1.0
394,7,1.0
638,0,1.0
655,4,1.0
636,4,1.0
635,2,1.0
633,7,1.0
632,5,1.0
400,10,1.0
630,4,1.0
629,6,1.0
628,7,1.0
627,5,1.0
395,7,1.0
659,0,1.0
657,6,1.0
670,3,1.0
363,7,1.0
683,2,1.0
370,6,1.0
681,6,1.0
680,6,1.0
374,7,1.0
676,5,1.0
675,4,1.0
378,6,1.0
672,1,1.0
669,2,1.0
658,5,1.0
668,0,1.0
667,1,1.0
666,5,1.0
665,5,1.0
664,5,1.0
663,4,1.0
662,4,1.0
661,3,1.0
660,1,1.0
625,4,1.0
626,7,1.0
621,3,1.0
623,1,1.0
622,5,1.0
589,6,1.0
588,7,1.0
583,5,1.0
582,5,1.0
580,6,1.0
465,2,1.0
578,5,1.0
577,6,1.0
576,4,1.0
575,5,1.0
574,4,1.0
573,5,1.0
566,5,1.0
561,3,1.0
559,7,1.0
492,1,1.0
556,8,1.0
553,6,1.0
544,9,1.0
542,4,1.0
496,7,1.0
515,8,1.0
514,8,1.0
438,9,1.0
591,5,1.0
594,5,1.0
609,5,1.0
513,2,1.0
620,2,1.0
619,6,1.0
618,6,1.0
617,6,1.0
412,1,1.0
615,0,1.0
614,9,1.0
612,7,1.0
422,5,1.0
423,5,1.0
595,3,1.0
606,7,1.0
605,6,1.0
427,6,1.0
173,5,1.0
431,2,1.0
600,4,1.0
599,3,1.0
598,6,1.0
434,8,1.0
596,1,1.0
685,5,1.0
34,4,
480,6,
581,1,
585,5,
586,1,
587,3,
593,4,
608,4,
610,4,
613,1,
624,1,
634,6,
642,1,
645,3,
646,7,
648,2,
652,4,
656,6,
671,8,
673,6,
