Node ID,Degree of each node,Number of circles
563,144,7
463,84,5
376,198,5
561,146,5
431,130,5
475,178,5
525,136,5
388,74,4
544,120,4
391,110,4
397,92,4
526,62,4
408,108,4
412,176,4
414,88,4
420,52,4
545,90,4
421,48,4
460,130,4
523,84,4
432,108,4
449,18,4
450,42,4
452,82,4
513,146,4
455,72,4
461,90,4
471,60,4
500,146,4
378,104,4
419,112,4
558,36,4
570,68,4
515,106,3
511,58,3
458,50,3
512,56,3
456,120,3
566,120,3
565,38,3
514,118,3
451,48,3
560,58,3
448,4,3
446,34,3
352,44,3
445,52,3
444,92,3
517,142,3
439,84,3
438,118,3
436,92,3
520,98,3
521,28,3
360,84,3
198,18,3
553,148,3
430,74,3
478,14,3
494,44,3
488,54,3
495,44,3
496,68,3
497,164,3
484,100,3
482,66,3
480,10,3
479,72,3
503,114,3
465,138,3
504,84,3
569,28,3
474,38,3
473,62,3
568,22,3
506,132,3
507,128,3
508,30,3
510,50,3
462,36,3
434,58,3
535,22,3
533,10,3
369,50,3
534,14,3
428,144,3
405,20,3
404,100,3
536,42,3
402,112,3
400,122,3
398,64,3
370,126,3
538,102,3
395,128,3
541,18,3
542,106,3
543,40,3
371,8,3
390,10,3
373,156,3
387,70,3
374,126,3
548,62,3
409,66,3
493,110,3
531,78,3
416,40,3
527,90,3
368,66,3
425,36,3
366,98,3
492,108,3
524,112,3
363,102,3
362,36,3
415,50,3
367,62,3
413,32,3
547,62,2
519,48,2
554,34,2
549,12,2
502,20,2
551,32,2
555,74,2
546,58,2
556,84,2
557,72,2
518,36,2
516,38,2
505,24,2
537,78,2
528,24,2
509,28,2
530,6,2
567,94,2
559,144,2
562,8,2
522,20,2
173,10,2
491,20,2
417,122,2
382,22,2
435,18,2
433,18,2
359,50,2
427,16,2
426,34,2
424,32,2
423,86,2
361,44,2
418,44,2
490,24,2
357,34,2
410,28,2
407,28,2
372,32,2
403,38,2
375,32,2
396,52,2
394,60,2
380,20,2
392,76,2
389,38,2
440,26,2
381,22,2
470,30,2
486,30,2
34,6,2
483,142,2
349,8,2
481,52,2
477,22,2
355,76,2
476,10,2
350,40,2
485,8,2
469,42,2
487,64,2
353,104,2
354,50,2
459,18,2
457,38,2
489,46,2
453,8,2
379,2,1
356,4,1
365,10,1
377,2,1
571,4,1
364,16,1
351,8,1
564,16,1
358,0,1
411,4,1
383,4,1
385,14,1
498,10,1
499,4,1
501,14,1
472,8,1
468,2,1
467,6,1
466,16,1
454,4,1
447,0,1
442,22,1
441,14,1
437,18,1
429,18,1
422,64,1
529,16,1
532,18,1
406,6,1
399,14,1
539,42,1
540,14,1
393,12,1
572,6,1
